ID_Service,Servicio,Activar Servicio,Tipo de Servicio,ID_Tipo_Servicio,Costo Servicio,Tiempo de Ejecucion,Tiempo Biolimpieza,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Depilacion de Bigote Hilo,665ff56191993d68814e8ea3,20000,5,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Depilalcion de Bigote con Cera,665ff56c91993d68814e8ea5,10000,5,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Sombreado con Henna,665ff57991993d68814e8ea7,70000,20,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Laminado de Cejas,665ff58291993d68814e8ea9,100000,35,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Laminado de Cejas Con Henna,665ff58b91993d68814e8eab,140000,43,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Micropigmentacion de Cejas,665ff59891993d68814e8ead,300000,58,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Micropigmentacion de Labios,665ff5a391993d68814e8eaf,360000,58,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Lifting de Pesta�as Con Pigmento,665ff5ab91993d68814e8eb1,120000,58,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Pesta�as Volumen 2D,665ff5b491993d68814e8eb3,140000,88,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Pesta�as Volumen 3D,665ff5be91993d68814e8eb5,160000,88,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Pesta�as Volumen 4D,665ff5c591993d68814e8eb7,180000,88,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Pesta�as Volumen 5D,665ff5c991993d68814e8eb9,180000,88,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Pesta�as Volumen Russo,665ff5d691993d68814e8ebb,200000,88,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Combo Dise�o Depilacion y Henna,665ff5e391993d68814e8ebd,90000,38,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Combo Dise�o Depilacion Cejas,665ff5ee91993d68814e8ebf,50000,18,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Combo Cejas y Bigote Con Cera,665ff5f891993d68814e8ec1,40000,18,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Combo Cejas y Bigote con Hilo,665ff60691993d68814e8ec3,60000,18,2,,,,,,,,,,
64ab9cbad82418177a723820,Maquillaje,true,Maquillaje con Pesta�as,64ab9d04d82418177a723830,60000,38,2,,,,,,,,,,
64ab9cbad82418177a723820,Maquillaje,true,Maquillaje y Peinado 15 A�os,64ab9d9ed82418177a723838,150000,118,2,,,,,,,,,,
64ab9cbad82418177a723820,Maquillaje,true,Maquillaje Social,665ff75391993d68814e8ec9,45000,28,2,,,,,,,,,,
64ab9cbad82418177a723820,Maquillaje,true,Pruebas Maquillaje y Peinado Novia,665ff78191993d68814e8ecc,120000,118,2,,,,,,,,,,
64ab9cbad82418177a723820,Maquillaje,true,Pesta�a Puno Punto,665ff79d91993d68814e8ecf,40000,18,2,,,,,,,,,,
64ab9cbad82418177a723820,Maquillaje,true,Maquillaje y Peinado Novia,64ab9dabd82418177a72383c,150000,118,2,,,,,,,,,,
665fd3e63a9d1e5376a0ee28,Depilacion Corporal,true,Axilas,665ff7e691993d68814e8ed3,12000,13,2,,,,,,,,,,
665fd3e63a9d1e5376a0ee28,Depilacion Corporal,true,Pecho,665ff7ee91993d68814e8ed5,45000,28,2,,,,,,,,,,
665fd3e63a9d1e5376a0ee28,Depilacion Corporal,true,Espalda,665ff7f691993d68814e8ed7,80000,58,2,,,,,,,,,,
665fd3e63a9d1e5376a0ee28,Depilacion Corporal,true,Zona Intima,665ff7fd91993d68814e8ed9,35000,28,2,,,,,,,,,,
665fd3e63a9d1e5376a0ee28,Depilacion Corporal,true,Zona Intima Parcial,665ff80691993d68814e8edb,20000,18,2,,,,,,,,,,
665fd3e63a9d1e5376a0ee28,Depilacion Corporal,true,Media Pierna,665ff80f91993d68814e8edd,30000,18,2,,,,,,,,,,
665fd3e63a9d1e5376a0ee28,Depilacion Corporal,true,Pierna Completa,665ff81a91993d68814e8edf,70000,58,2,,,,,,,,,,
665fd3e63a9d1e5376a0ee28,Depilacion Corporal,true,Depilacion Cuerpo Completo,665ff82691993d68814e8ee1,120000,118,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Manicure Tradicaional,64ab9e5bd82418177a72384b,15000,28,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Pedicure Tradicional,64ab9eb6d82418177a723863,20000,28,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Combo Manos y Pies Tradicional,665ff8ae91993d68814e8ee5,35000,75,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Manicure Semipermanente,64ab9e86d82418177a723853,40000,38,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Pedicure Semipermante,64ab9eb6d82418177a723863,50000,38,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Combo Manos Y Pies Semipermanente,665ff8ae91993d68814e8ee5,90000,75,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Retito de Semi,64ab9ea6d82418177a72385f,10000,15,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Retiro Sistemas,665ff99491993d68814e8efc,20000,28,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Deeping,665ff8cb91993d68814e8ee9,60000,58,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Set de Acrilico,665ff8d491993d68814e8eeb,140000,118,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Set de Poligel,665ff8de91993d68814e8eed,140000,118,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Set de Press On,665ff8e791993d68814e8eef,120000,118,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Set Ba�o en Acrilico,665ff8f391993d68814e8ef1,100000,73,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Set Ba�o Poligel,665ff90491993d68814e8ef3,100000,73,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Retoque de Acrilico,665ff91891993d68814e8ef7,100000,73,2,,,,,,,,,,
64ab9debd82418177a723847,Spa de U�as,true,Retique de poligel o Press On,665ff92591993d68814e8ef9,100000,73,2,,,,,,,,,,
